Unperturbed generated text,Perturbed generated text,Loss
"<|endoftext|>In summary, the study found that the number of people who were obese in the United States increased from 1.3 million in 1980 to 2.1 million in 2010. The number of obese people increased from 1.6 million in 1980 to 2.7 million","<|endoftext|>In summary, the government has been trying to get the government to pay for the government's tax cuts. The government has been trying to get the government to pay for the government's tax cuts. The government has been trying to get the government to pay",2.446162939
"<|endoftext|>This essay discusses the role of the state in the development of the modern state. It is based on the work of the late Professor of Political Science, Professor of Economics, and Professor of History, John M. O'Sullivan. The state is a social","<|endoftext|>This essay discusses the role of the state in the political economy of the state. It is not a political economy of the state, but a political economy of the state politics. It is political economy of the state politics. It is political economy of the state politics.",1.571228623
"<|endoftext|>Views on the issue of whether the United States should intervene in Syria have been mixed. Some Republicans, including Sen. John McCain (R-Ariz.), have said the United States should not intervene in Syria, while others, including Sen. Lindsey Graham (R",<|endoftext|>Views on the economy are often framed in terms of the state of the nation's political system. But the economy is not the only political issue that is important to voters. The economy is also a political issue. The political system is a political system.,5.7845788
<|endoftext|>The connection between the two is not just a matter of the two countries' economic interests. It is also a matter of the two countries' values. The United States is a country that values freedom and democracy. It is a country that values the rule,<|endoftext|>The connection between the two is so strong that the two sides have been at odds for decades. The two sides have been at odds for decades. The two sides have been at odds for decades. The two sides have been at odds,5.583112717
"<|endoftext|>Foundational to this is the fact that the world is not a single entity. It is a collection of individuals, groups, and nations. The world is not a single entity, but rather a collection of nations, states, and nations. The world is not a","<|endoftext|>Foundational to this is the idea that the state is the ultimate authority on the law. The state is the ultimate authority on the law, and the state is the ultimate authority on the constitution. The state is the ultimate authority on the constitution, and the state is the ultimate",3.968789339
"<|endoftext|>To review, the following is a list of the most common types of ""fraudulent"" or ""malicious"" software used to steal money from banks and other financial institutions. The following is a list of the most common types of ""fraudulent","<|endoftext|>To review, the following is a brief summary of the main issues raised by the court's decision. The court's decision is not binding on the state legislature. The court's decision is not binding on the state legislature. The court's",3.77942276
"<|endoftext|>In brief, the new version of the Windows 10 Creators Update includes a number of improvements to the Windows Store, including a new version of the Windows Store app, a new version of the Windows Store app for Windows 10 Mobile, and a new version of the Windows","<|endoftext|>In brief, the government has been trying to get the government to pay for the government's tax cuts. The government has been trying to get the government to pay for tax cuts. The government has been trying to get the government to pay for tax cuts.",4.493741512
"<|endoftext|>An illustration of the new ""super-sized"" solar panels that will be installed on the roof of the new solar farm in the town of Krakow, Poland. (Photo: Krakow Solar Farm) The solar farm in Poland is about to",<|endoftext|>An illustration of the new U.S. tax code. (Photo: Getty Images) The tax code is a mess. The tax code is a mess. The tax code is a mess. The tax code is a mess,5.167295456
"<|endoftext|>Furthermore, the study found that the number of people who were obese in the United States increased from 1.3 million in 1980 to 2.1 million in 2010. ""The increase in obesity rates is not due to a change in the number of obese","<|endoftext|>Furthermore, the government has been accused of using the power of the state to impose its will on the private sector. The government has been accused of using the power of the state to impose its will on the private sector. The government has been",6.367480755
"<|endoftext|>The central theme of the book is that the United States is not a democracy, but a dictatorship. The book is a critique of the American political system, and the author's argument is that the United States is a dictatorship because it is a dictatorship. The",<|endoftext|>The central theme of the book is that the state of the world is not a matter of politics but of economics. The state of the world is not a matter of politics but of economics. The central theme of the book is that the state of the world,5.379961491
"<|endoftext|>To conclude, I would like to say that I am very grateful to the people who have supported me in my journey. I am very grateful to my family, friends, and colleagues. I am very grateful to my fans. I am very grateful to my fans for","<|endoftext|>To conclude, the evidence presented in this case is compelling. The government's argument that the state's interest in protecting the public from the government's unconstitutional conduct is outweighed by the state's interest in protecting the state's citizens from the government's unconstitutional conduct is not",6.862989426
"<|endoftext|>The key aspect of the new law is that it will allow the government to impose a minimum wage of $15 an hour, which is higher than the $10.10 an hour that the federal minimum wage is set to be in 2017. The government has","<|endoftext|>The key aspect of the new law is that it will not allow the government to impose a tax on the sale of alcohol. The government has said it will not tax the sale of alcohol, but it has not said how it will tax the sale of alcohol",3.753421307
"<|endoftext|>Prior to this year's election, the Republican Party had a clear advantage in the state of Ohio. The GOP had a majority in both houses of the state legislature, and the governor was a Republican. But in the last few weeks, the GOP has lost","<|endoftext|>Prior to this, the government had been trying to get the government to pay for the cost of the government's subsidy scheme for subsidised electricity. The government had also been trying to get the government to pay for the cost of the government's subsidy scheme for",6.811151028
