Unperturbed generated text,Perturbed generated text,Loss
"<|endoftext|>In summary, the study found that the number of people who were obese in the United States increased from 1.3 million in 1980 to 2.1 million in 2010. The number of obese people increased from 1.6 million in 1980 to 2.7 million","<|endoftext|>In summary, the study found that the number of people who were obese in the United States increased from 1.5 million in 1980 to 2.5 million in 2010.

The study also found that the number of obese people in the United States increased from",8.194971
"<|endoftext|>This essay discusses the role of the state in the development of the modern state. It is based on the work of the late Professor of Political Science, Professor of Economics, and Professor of History, John M. O'Sullivan. The state is a social","<|endoftext|>This essay discusses the role of the Church in the life of Jesus Christ. It is a study of the Church's ministry to Jesus Christ, and Jesus Christ's ministry to Jesus Christ. It is a study of Jesus Christ's ministry to Jesus Christ Jesus Jesus Jesus Jesus",0.35344207
"<|endoftext|>Views on the issue of whether the United States should intervene in Syria have been mixed. Some Republicans, including Sen. John McCain (R-Ariz.), have said the United States should not intervene in Syria, while others, including Sen. Lindsey Graham (R","<|endoftext|>Views on the Bible The Bible is the Word of God, the Word of God is the Word of God. The Bible is the Word of God, the Word of God is the Word of God. The Bible is the Word of",7.2336316
<|endoftext|>The connection between the two is not just a matter of the two countries' economic interests. It is also a matter of the two countries' values. The United States is a country that values freedom and democracy. It is a country that values the rule,<|endoftext|>The connection between the two is so strong that it's almost impossible to imagine God not being God. God is God. God is God. God is God. God is God. God is God. God is God. God is God. God is God.,1.0208894
"<|endoftext|>Foundational to this is the fact that the world is not a single entity. It is a collection of individuals, groups, and nations. The world is not a single entity, but rather a collection of nations, states, and nations. The world is not a",<|endoftext|>Foundational to this is the idea that the Bible is God's Word. The Bible is God's Word because God created it. God created the Bible God God God God God God God God God God God God God God God God God God God God God God God God God,0.003268219
"<|endoftext|>To review, the following is a list of the most common types of ""fraudulent"" or ""malicious"" software used to steal money from banks and other financial institutions. The following is a list of the most common types of ""fraudulent","<|endoftext|>To review, the following is a list of the most important books in the Bible. 1 Chronicles of the Bible The Bible is the Bible. It is God's Word. It is God's Word written in God's Word. God's Word is",2.6160896
"<|endoftext|>In brief, the new version of the Windows 10 Creators Update includes a number of improvements to the Windows Store, including a new version of the Windows Store app, a new version of the Windows Store app for Windows 10 Mobile, and a new version of the Windows","<|endoftext|>In brief, the United States Supreme Court ruled that the Constitution protects the right of citizens to vote. The Court's decision was a victory for the right to vote, but it was also a victory for the right to vote for the wrong reasons. The Court",2.0907025
"<|endoftext|>An illustration of the new ""super-sized"" solar panels that will be installed on the roof of the new solar farm in the town of Krakow, Poland. (Photo: Krakow Solar Farm) The solar farm in Poland is about to","<|endoftext|>An illustration of the new ""Star Wars"" movie poster. (Photo: Lucasfilm) The new ""Star Wars"" movie poster is a bit of a mess. The poster, which was released on Friday, features a woman with a baby on",2.8445792
"<|endoftext|>Furthermore, the study found that the number of people who were obese in the United States increased from 1.3 million in 1980 to 2.1 million in 2010. The increase in obesity rates is not due to a change in the number of obese","<|endoftext|>Furthermore, the Bible teaches that God is the author of the Bible. God is the author of the Bible. God is the author of the Bible. God is the author of the Bible. God is God God God God God God God God God God God God",0.016426103
"<|endoftext|>The central theme of the book is that the United States is not a democracy, but a dictatorship. The book is a critique of the American political system, and the author's argument is that the United States is a dictatorship because it is a dictatorship. The","<|endoftext|>The central theme of the new book, ""The End of Faith,"" by the Rev. Dr. Martin Luther King Jr., is that religion is a ""false religion"" that is ""the greatest threat to the peace and prosperity of the world."" King's",7.849557
