Unperturbed generated text,Perturbed generated text,Loss
"<|endoftext|>In summary, the study found that the number of people who were obese in the United States increased from 1.3 million in 1980 to 2.1 million in 2010. The number of obese people increased from 1.6 million in 1980 to 2.7 million","<|endoftext|>In summary, the study found that the number of people who use the Internet to access information online has increased by more than 50 percent since the Internet was first created. The Internet is a global network of computers and Internet-connected devices that allows people to",1.6179373
"<|endoftext|>This essay discusses the role of the state in the development of the modern state. It is based on the work of the late Professor of Political Science, Professor of Economics, and Professor of History, John M. O'Sullivan. The state is a social","<|endoftext|>This essay discusses the history of the term ""cognitive science"" and its evolution. It is based on the work of the following authors: The term ""cognitive science"" was coined by the late computer scientist Alan Turing in the early 1980s. Turing",7.3241124
"<|endoftext|>Foundational to this is the fact that the world is not a single entity. It is a collection of individuals, groups, and nations. The world is not a single entity, but rather a collection of nations, states, and nations. The world is not a","<|endoftext|>Foundational to this is the fact that the Internet is a network. It's a network of computers, all connected to each other. The Internet is a network of computers, all connected to each other. The Internet is a network of computers, all connected to each",5.740337
"<|endoftext|>To review, the following is a list of the most common types of ""fraudulent"" or ""malicious"" software used to steal money from banks and other financial institutions. The following is a list of the most common types of ""fraudulent","<|endoftext|>To review, please login or register. To review, please login or register. To review, please login or register. To review, please login or register. To review, please login or register. To review,",14.615235
"<|endoftext|>In brief, the new version of the Windows 10 Creators Update includes a number of improvements to the Windows Store, including a new version of the Windows Store app, a new version of the Windows Store app for Windows 10 Mobile, and a new version of the Windows","<|endoftext|>In brief, the new version of the Windows operating system is called Windows 10. It is based on Windows 10, version 1607. Windows 10 is a Windows operating system that is based on Windows 10, version 1607. It is a Windows operating system",6.2372866
"<|endoftext|>An illustration of the new ""super-sized"" solar panels that will be installed on the roof of the new solar farm in the town of Krakow, Poland. (Photo: Krakow Solar Farm) The solar farm in Poland is about to","<|endoftext|>An illustration of the new system of digital currency, Bitcoin. Bitcoin is a digital currency that is digital and digital only. It is not digital money. It is digital currency. Bitcoin is digital currency. Bitcoin is digital currency. Bitcoin is digital currency. Bitcoin",5.6962557
"<|endoftext|>Furthermore, the study found that the number of people who were obese in the United States increased from 1.3 million in 1980 to 2.1 million in 2010. ""The increase in obesity rates is not due to a change in the number of obese","<|endoftext|>Furthermore, the study found that the number of people who use the Internet to access content online has increased by more than 50 percent since the Internet was launched in the early 1990s. ""The Internet is a global platform for online communication, and it is",7.1249075
"<|endoftext|>The central theme of the book is that the United States is not a democracy, but a dictatorship. The book is a critique of the American political system, and the author's argument is that the United States is a dictatorship because it is a dictatorship. The","<|endoftext|>The central theme of the book is that the world is not a computer program, but a computer program is a computer program. The computer program is a computer program. The computer program is a computer program. The computer program is a computer program. The computer program is",3.4897258
"<|endoftext|>To conclude, I would like to say that I am very grateful to the people who have supported me in my journey. I am very grateful to my family, friends, and colleagues. I am very grateful to my fans. I am very grateful to my fans for","<|endoftext|>To conclude, we have shown that the effects of the two types of data are independent of each other. The data are not independent of each other, but they are independent of each other. The data are independent of each other, but they are independent of each other",5.967591
"<|endoftext|>The key aspect of the new law is that it will allow the government to impose a minimum wage of $15 an hour, which is higher than the $10.10 an hour that the federal minimum wage is set to be in 2017. The government has","<|endoftext|>The key aspect of the new system is that it is not a ""one size fits all"" solution. It is designed to be flexible and adapt to the needs of your application. The new system is designed to be flexible and adapt to the needs of your",4.48856
"<|endoftext|>Prior to this year's election, the Republican Party had a clear advantage in the state of Ohio. The GOP had a majority in both houses of the state legislature, and the governor was a Republican. But in the last few weeks, the GOP has lost","<|endoftext|>Prior to this, the only way to get a copy of the file was to download it from the web site. Now, you can download the file directly from the web site. The file is named ""Windows 7.1 Update file download.exe""",4.6664786
<|endoftext|>Emphasised are the differences between the two groups. The study found that the majority of people who had been diagnosed with depression were not taking any medication. The study also found that people who had been diagnosed with depression were more likely to be taking antidepressants,<|endoftext|>Emphasised are the key points of the key points of key points of key points of key points of key points key points key points key points key points key points key key key key key key key key key key key key key key key key key key key key key,0.020904034
"<|endoftext|>To summarise, the main problem with the current system is that it is not designed to deal with the problem of the ""unfair"" distribution of income. The system is designed to deal with the problem of the ""unfair"" distribution of income.","<|endoftext|>To summarise, the main problem with the current version of Windows is that it is not compatible with Windows XP. Windows XP is a Windows OS that was released in Windows XP OS Windows OS Windows OS Windows OS Windows OS Windows OS Windows OS Windows OS Windows OS Windows",0.022960419
"<|endoftext|>The relationship between the United States and Israel is one of the most important in the world. The United States has been Israel's closest ally since the end of World War II. The two countries have been at odds over the years over the Middle East, the Middle",<|endoftext|>The relationship between the two is not as simple as it seems. The first thing to understand is that the relationship between the two is not as simple as it seems. The relationship between the two is not as simple as it seems.,14.200337
"<|endoftext|>More importantly, the new rules will allow the government to use the money to pay for the cost of the new rail line, which will be built by the private sector. The government has already spent $1.5 billion on the line, which will run","<|endoftext|>More importantly, the data is stored in a database format that is easy to read and write. The data is stored in a database format that is easy to read and write. The data is stored in a database format that is easy to read and write.",5.8124194
<|endoftext|>It has been shown that the brain is able to process information in a way that is not easily explained by the brain's usual processes. This is because the brain is able to process information in a way that is not easily explained by the brain's usual processes.,<|endoftext|>It has been shown that the brain is a complex network of interconnected neurons that are interconnected by a network of connections. The network of connections is called the network network network network network network network network network network network network network network network network network network network network network network network network,0.019458074
<|endoftext|>The connection between the two is not just a matter of the two countries' economic interests. It is also a matter of the two countries' values. The United States is a country that values freedom and democracy. It is a country that values the rule,"<|endoftext|>The connection between the Internet and the Internet of Things (IoT) is growing rapidly. IoT devices are becoming more and more connected to the Internet, and the Internet of Things (IoT) is becoming increasingly connected to the Internet of Things (I",10.537538
"<|endoftext|>Views on the issue of whether the United States should intervene in Syria have been mixed. Some Republicans, including Sen. John McCain (R-Ariz.), have said the United States should not intervene in Syria, while others, including Sen. Lindsey Graham (R",<|endoftext|>Views on the Internet are not static. They are dynamic. They change over time. They are dynamic because they are dynamic. They are dynamic because they are dynamic. They are dynamic because they are dynamic. The Internet is dynamic because it is a dynamic,0.9559167
"<|endoftext|>The issue focused on the use of the term ""white privilege"" to describe the privilege of being white. The issue focused on the use of the term ""white privilege"" to describe the privilege of being white. The issue focused on the use of the","<|endoftext|>The issue focused on the use of the word ""privacy"" in the context of the Internet. The court ruled that the term ""privacy"" is not defined in the law, and therefore the government cannot force Internet service providers to block access to websites that",7.2056637
"<|endoftext|>In this essay, I will discuss the role of the state in the development of the modern state. I will argue that the state is not a necessary condition for the development of the modern state, but rather a necessary condition for the development of the modern state. I","<|endoftext|>In this essay, I will discuss the history of the term ""cognitive dissonance"" and its relationship to the concept of ""truth."" Cognitive dissonance is a term coined by psychologist Daniel Kahneman in his book Thinking, Fast and Slow. It",9.34854
